OBJECTID,IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors,CollisionYear,CityCrash
3746,28648439,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,S,,,,,,,37.817219,-87.61302912,13.802,2021-09-10,1754,2,2,0,1,CLEAR,DRY,True,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44450.93959,False,58,Accepted,5,4,C,,INATTENTION,,2021,1
3747,28649063,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,12TH,ST,,,ELM,,,,,37.85277533,-87.58193787,0.197,2021-08-31,921,2,1,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44451.12798,False,7,Accepted,5,5,O,,INATTENTION,,2021,1
3748,28652859,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,ZION,RD,,,KY 2084,,,,,37.83127633,-87.56893318,,2021-09-09,1210,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44452.38356,False,73,Accepted,5,5,O,,"FAILED TO YIELD RIGHT OF WAY, INATTENTION",,2021,1
3753,28653798,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,,US41,,N,,WATSON,,,,,37.8753414,-87.56784481,17.407,2021-09-11,1310,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44452.56091,False,44,Accepted,5,5,O,,INATTENTION,,2021,1
3754,28655798,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,708,LETCHER,ST,,,,,,,,37.82369022,-87.58231085,0.391,2021-09-11,2320,2,2,0,0,CLEAR,DRY,True,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44453.0115,False,24,Accepted,5,5,O,,"EMOTIONAL, INATTENTION",,2021,1
3755,28655799,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,428,ALVASIA,ST,S,,,,,,,37.82912645,-87.59004588,0.477,2021-09-11,409,2,2,0,0,CLEAR,DRY,True,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,44453.01155,False,33,Accepted,5,5,O,,,,2021,1
3756,28657702,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,1ST,ST,,,ALVASIA,,,,,37.83592049,-87.58342538,0.648,2021-09-14,600,2,2,0,0,CLOUDY,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAWN,,,44453.54515,False,34,Accepted,5,5,O,,"DISREGARD TRAFFIC CONTROL, INATTENTION",,2021,1
3758,28663231,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0060,,GREEN,ST,S,,,,,,,37.80575053,-87.63244586,9.635,2021-09-14,1637,2,2,0,2,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44454.71523,False,50,Accepted,5,4,C,,DISTRACTION,,2021,1
3759,28663232,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,KY0136,1300,SAND,LN,,,,,,,,37.82251058,-87.60124315,19.682,2021-09-14,1515,1,1,0,0,CLEAR,DRY,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44454.71528,False,19,Accepted,5,5,O,,OTHER,,2021,1
3760,28663233,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,2118,ELM,ST,N,,,,,,,37.86717613,-87.57490932,2.231,2021-09-14,1909,2,1,0,1,CLEAR,DRY,False,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44454.71531,False,25,Accepted,5,3,B,,INATTENTION,,2021,1
3762,28667367,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,ADAMS,ST,N,,BRECKINRIDGE,,,,,37.85249491,-87.57666944,1.26,2021-09-15,1645,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44455.70466,False,59,Accepted,5,5,O,,"INATTENTION, FOLLOWING TOO CLOSE",,2021,1
3763,28667583,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,N,,12TH,,,,,37.85219318,-87.58027469,16.918,2021-09-12,1905,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44455.73634,False,44,Accepted,5,5,O,OTHER,INATTENTION,,2021,1
3764,28669604,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,WATSON,LN,,US0041,US41,,,,,37.87530171,-87.56769751,1.094,2021-09-12,1128,2,2,0,0,CLEAR,DRY,False,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,44456.32978,False,34,Accepted,5,5,O,,MISJUDGE CLEARANCE,,2021,1
3765,28669605,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,5TH,ST,,,,,VAN WYK,,HEILMAN,37.83849229,-87.5741192,0.224,2021-09-15,1028,2,2,0,0,CLOUDY,DRY,False,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,44456.32982,False,34,Accepted,5,5,O,,MISJUDGE CLEARANCE,,2021,1
3768,28672075,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,ADAMS,ST,S,,,,,,,37.83157697,-87.59168925,0.381,2021-09-16,1543,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44456.92954,False,58,Accepted,5,5,O,,INATTENTION,,2021,1
3769,28674976,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,1ST,ST,,,,,,,,37.83808627,-87.58896826,0.312,2021-09-16,2232,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44458.04005,False,31,Accepted,5,5,O,OTHER,"DRUG INVOLVEMENT, INATTENTION",,2021,1
3775,28684424,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,BARRET,BLVD,,US0060,US60,,,,,37.86004704,-87.5678778,0.361,2021-09-19,1215,2,2,0,0,CLOUDY,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44460.46393,False,37,Accepted,5,5,O,,INATTENTION,,2021,1
3776,28684743,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,WALNUT,LN,,US0041,US41,,,,,37.87989577,-87.56536619,0.329,2021-09-20,745,2,2,0,0,CLOUDY,DRY,False,VEHICLE BACKING IN INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,44460.51772,False,44,Accepted,5,5,O,,"IMPROPER BACKING, INATTENTION",,2021,1
3777,28684744,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,KY0351,,ZION,RD,,US0041,US41 RAMP FROM KY351,,,,,37.83098986,-87.56720473,1.304,2021-09-20,2030,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44460.51777,False,46,Accepted,5,5,O,,INATTENTION,,2021,1
3778,28685021,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,WATSON,LN,,US0041,US41,,,,,37.87533021,-87.5677555,1.097,2021-09-20,1450,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44460.56579,False,58,Accepted,5,5,O,,INATTENTION,BRAKES DEFECTIVE,2021,1
3779,28685716,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,460,KLUTEY PARK PLAZA,DR,,,,,,,,37.83476449,-87.56957915,0.196,2021-09-20,1546,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44460.66752,False,25,Accepted,5,5,O,,INATTENTION,,2021,1
3780,28685772,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,604,5TH,ST,,,,,,,,37.84200468,-87.58279114,0.711,2021-08-31,1542,2,2,0,0,CLOUDY,DRY,True,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44460.67494,False,25,Accepted,5,5,O,OTHER,,,2021,1
3781,28687015,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,S,,,,,,,37.81446135,-87.61773077,13.46,2021-09-20,2048,2,2,0,0,CLOUDY,DRY,True,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,44460.9705,False,31,Accepted,5,5,O,,"INATTENTION, MISJUDGE CLEARANCE",,2021,1
3782,28687016,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,S,,,,,,,37.81404979,-87.6179659,13.429,2021-09-21,1536,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44460.97056,False,31,Accepted,5,5,O,,EXCEEDED STATED SPEED LIMIT,,2021,1
3784,28692258,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,,US41,,N,,,,BARRET,,MARYWOOD,37.86640325,-87.57252584,16.741,2021-09-20,803,2,2,0,0,RAINING,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAWN,,,44462.39038,False,34,Accepted,5,5,O,"BACKUP DUE TO REGULAR CONGESTION, SLIPPERY SURFACE",,,2021,1
3786,28697911,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,,US41,,N,,,,,,,37.87883227,-87.56599194,17.667,2021-09-13,1551,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44462.90861,False,58,Accepted,5,5,O,,INATTENTION,,2021,1
3788,28700343,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,DRURY,LN,,US0041A,GREEN,,,,,37.81407564,-87.6180001,0.001,2021-09-13,1152,2,2,0,0,CLEAR,DRY,False,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44463.5465,False,26,Accepted,5,5,O,,MISJUDGE CLEARANCE,,2021,1
3789,28700344,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,US41 ALT,,,US0060,GREEN,,,,,37.81107719,-87.62268637,13.09,2021-09-15,718,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44463.54655,False,26,Accepted,5,5,O,,INATTENTION,,2021,1
3790,28704721,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,N,,,,,,,37.8448927,-87.58496722,16.345,2021-09-23,2212,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,44465.02989,False,24,Accepted,5,5,O,,INATTENTION,,2021,1
3791,28706387,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,1100,GREEN,ST,N,,,,,,,37.85114727,-87.58098678,16.836,2021-09-22,1356,2,2,0,0,CLOUDY,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,44465.70374,False,50,Accepted,5,5,O,,OTHER,,2021,1
